cod_pais;nom_pais;REGION;cod_provincia;nom_provincia;cod_depto;nom_depto;a¤o_del_dato;Integrantes_del_naf_con_obra_social;integrantes_del_naf_con_prepaga;integrantes_del_naf_con_sistema_p£blico_de_salud;integrantes_del_naf_sin_cobertura_medica
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;Sin dato;44;14;34;73
32;Argentina;CENTRO;6;BUENOS AIRES;277;FLORENTINO AMEGHINO;2010;27;0;111;16
32;Argentina;CENTRO;6;BUENOS AIRES;277;FLORENTINO AMEGHINO;2011;2;1;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;277;FLORENTINO AMEGHINO;2012;26;1;35;6
32;Argentina;CENTRO;6;BUENOS AIRES;277;FLORENTINO AMEGHINO;2013;0;0;5;0
32;Argentina;CENTRO;6;BUENOS AIRES;277;FLORENTINO AMEGHINO;2014;2;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2009;38;0;70;14
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2010;15;0;35;11
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2011;8;0;30;5
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2012;29;20;47;33
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2013;26;0;30;13
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2014;13;7;26;0
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2015;10;0;8;7
