cod_pais,nom_pais,Region,Provincia,Cod prov,Departamento,Cod dpto,Año del dato,Tenencia de la tierra,Cantidad de NAFs
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2011,Tenedor,5
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2012,Otra condición,3
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2012,Posesión,4
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2012,Propietario,12
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2012,Tenedor,5
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2013,No declara tierra con límite,1
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2013,Otra condición,1
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2013,Posesión,11
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2013,Propietario,16
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2013,Tenedor,7
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2014,No declara tierra con límite,13
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2014,Posesión,3
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2014,Propietario,11
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2014,Tenedor,7
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2015,Otra condición,1
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2015,Posesión,2
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2015,Propietario,12
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2015,Tenedor,4
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2016,No declara tierra con límite,3
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2016,Otra condición,1
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2016,Posesión,2
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2016,Propietario,7
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2016,Tenedor,2
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2017,No declara tierra con límite,11
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2017,Posesión,6
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2017,Propietario,3
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2017,Tenedor,1
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,Sin dato,Posesión,1
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2009,No declara tierra con límite,3
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2009,Otra condición,8
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2009,Propietario,3
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2009,Tenedor,6
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2010,No declara tierra con límite,4
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2010,Otra condición,5
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2010,Propietario,6
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2010,Tenedor,2
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2011,Otra condición,3
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2011,Posesión,1
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2011,Tenedor,7
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2012,No declara tierra con límite,15
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2012,Otra condición,5
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2012,Propietario,1
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2012,Tenedor,6
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2013,No declara tierra con límite,2
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2013,Otra condición,1
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2013,Propietario,1
