cod_pais,nom_pais,region,cod_provincia,nom_provincia,cod_depto,nom_depto,año_de_registro,Cant_de_naf,integ_del_NAF,sin_educacion_formal,educacion_inicial,educacion_primaria,educacion_secundaria,educacion_cens,educacion_superior,educacion_especial
32,Argentina,NOA,10,CATAMARCA,28,ANTOFAGASTA DE LA SIERRA,2012,57,214,29,6,110,57,1,10,1
32,Argentina,NOA,10,CATAMARCA,28,ANTOFAGASTA DE LA SIERRA,2013,8,25,5,0,15,3,1,1,0
32,Argentina,NOA,10,CATAMARCA,28,ANTOFAGASTA DE LA SIERRA,2014,4,15,3,0,6,6,0,0,0
32,Argentina,NOA,10,CATAMARCA,28,ANTOFAGASTA DE LA SIERRA,2016,1,1,0,0,0,0,0,1,0
32,Argentina,NOA,10,CATAMARCA,28,ANTOFAGASTA DE LA SIERRA,2017,1,2,1,0,0,1,0,0,0
32,Argentina,PATAGONIA,58,NEUQUEN,14,AÑELO,2010,37,110,13,11,59,25,0,2,0
32,Argentina,PATAGONIA,58,NEUQUEN,14,AÑELO,2011,39,119,18,9,56,32,0,4,0
32,Argentina,PATAGONIA,58,NEUQUEN,14,AÑELO,2012,41,132,14,11,70,35,0,1,1
32,Argentina,PATAGONIA,58,NEUQUEN,14,AÑELO,2013,4,5,1,0,4,0,0,0,0
32,Argentina,PATAGONIA,58,NEUQUEN,14,AÑELO,2014,1,7,1,1,4,1,0,0,0
32,Argentina,PATAGONIA,58,NEUQUEN,14,AÑELO,2017,1,2,0,0,0,0,0,2,0
32,Argentina,NEA,54,MISIONES,7,APOSTOLES,2009,34,119,1,8,57,38,1,0,0
32,Argentina,NEA,54,MISIONES,7,APOSTOLES,2010,33,106,8,8,64,9,0,4,0
32,Argentina,NEA,54,MISIONES,7,APOSTOLES,2011,64,215,20,5,148,36,0,6,0
32,Argentina,NEA,54,MISIONES,7,APOSTOLES,2012,17,38,2,0,25,8,0,3,0
32,Argentina,NEA,54,MISIONES,7,APOSTOLES,2013,5,22,0,1,17,2,0,0,0
