cod_pais;nom_pais;region;cod_provincia;nom_provincia;cod_depto;nom_depto;Cant_de_naf;año_de_registro;integ_del_NAF;integ_menores_de_edad;integ_mayores_de_edad;integ_que_trabajan_en_el_predio;cant_de_mujeres_integrantes_del_NAF;cant_de_varones_integrantes_del_NAF
32;Argentina;NOA;10;CATAMARCA;21;ANDALGALA;5;2016;24;8;16;9;15;9
32;Argentina;NOA;10;CATAMARCA;21;ANDALGALA;7;2017;23;7;16;4;13;10
32;Argentina;NOA;10;CATAMARCA;21;ANDALGALA;3;Sin dato;9;3;6;5;4;5
32;Argentina;CUYO;70;SAN JUAN;14;ANGACO;10;2009;39;12;27;25;18;21
32;Argentina;CUYO;70;SAN JUAN;14;ANGACO;175;2010;654;250;404;450;327;327
32;Argentina;CUYO;70;SAN JUAN;14;ANGACO;16;2011;60;23;37;34;30;30
32;Argentina;CUYO;70;SAN JUAN;14;ANGACO;23;2012;96;31;65;60;42;54
32;Argentina;CUYO;70;SAN JUAN;14;ANGACO;20;2013;59;12;47;39;23;36
32;Argentina;CUYO;70;SAN JUAN;14;ANGACO;38;2014;103;32;71;67;57;46
32;Argentina;CUYO;70;SAN JUAN;14;ANGACO;5;2015;12;1;11;8;7;5
32;Argentina;CUYO;70;SAN JUAN;14;ANGACO;2;2016;9;3;6;3;4;5
32;Argentina;CUYO;70;SAN JUAN;14;ANGACO;5;2017;15;2;13;0;9;6
32;Argentina;CUYO;70;SAN JUAN;14;ANGACO;1;Sin dato;6;0;6;6;3;3
32;Argentina;NOA;66;SALTA;7;ANTA;61;2010;256;115;141;204;122;134
32;Argentina;NOA;66;SALTA;7;ANTA;13;2011;60;25;35;52;30;30
32;Argentina;NOA;66;SALTA;7;ANTA;11;2012;43;14;29;39;16;27
32;Argentina;NOA;66;SALTA;7;ANTA;115;2013;410;132;278;280;195;215
32;Argentina;NOA;66;SALTA;7;ANTA;111;2014;328;132;196;205;133;195
32;Argentina;NOA;66;SALTA;7;ANTA;7;2015;14;2;12;13;8;6
32;Argentina;NOA;66;SALTA;7;ANTA;18;2016;60;26;34;36;23;37
32;Argentina;NOA;66;SALTA;7;ANTA;135;2017;401;140;261;7;169;227
